## ROI	Slice	EdU	X	Y	Cy5	FociPerCell	Condition
56	8	29740.634545063454	193.0	511.0	3426	10	Ctrl
56	8	29740.634545063454	214.0	449.0	2130	10	Ctrl
56	8	29740.634545063454	221.0	408.0	3313	10	Ctrl
56	8	29740.634545063454	240.0	440.0	2927	10	Ctrl
56	8	29740.634545063454	269.0	420.0	2490	10	Ctrl
56	8	29740.634545063454	277.0	447.0	2503	10	Ctrl
56	8	29740.634545063454	285.0	400.0	2160	10	Ctrl
57	8	47900.79750263277	804.0	416.0	3457	17	Ctrl
57	8	47900.79750263277	804.0	499.0	3354	17	Ctrl
57	8	47900.79750263277	817.0	402.0	3142	17	Ctrl
57	8	47900.79750263277	823.0	414.0	3460	17	Ctrl
57	8	47900.79750263277	825.0	478.0	3210	17	Ctrl
57	8	47900.79750263277	829.0	434.0	3351	17	Ctrl
57	8	47900.79750263277	838.0	470.0	3337	17	Ctrl
57	8	47900.79750263277	849.0	395.0	2095	17	Ctrl
57	8	47900.79750263277	849.0	518.0	2949	17	Ctrl
57	8	47900.79750263277	856.0	491.0	2831	17	Ctrl
57	8	47900.79750263277	858.0	426.0	2002	17	Ctrl
57	8	47900.79750263277	868.0	531.0	2993	17	Ctrl
57	8	47900.79750263277	879.0	461.0	3338	17	Ctrl
57	8	47900.79750263277	881.0	486.0	2557	17	Ctrl
57	8	47900.79750263277	897.0	475.0	2569	17	Ctrl
57	8	47900.79750263277	901.0	512.0	2640	17	Ctrl
57	8	47900.79750263277	917.0	506.0	1684	17	Ctrl
58	8	25284.222785797894	517.0	472.0	2471	16	Ctrl
58	8	25284.222785797894	517.0	537.0	2308	16	Ctrl
58	8	25284.222785797894	524.0	483.0	2271	16	Ctrl
58	8	25284.222785797894	545.0	503.0	2452	16	Ctrl
58	8	25284.222785797894	564.0	475.0	3352	16	Ctrl
58	8	25284.222785797894	578.0	517.0	2245	16	Ctrl
58	8	25284.222785797894	603.0	454.0	2722	16	Ctrl
58	8	25284.222785797894	609.0	561.0	1740	16	Ctrl
58	8	25284.222785797894	613.0	527.0	2505	16	Ctrl
58	8	25284.222785797894	620.0	427.0	2099	16	Ctrl
58	8	25284.222785797894	620.0	465.0	3353	16	Ctrl
58	8	25284.222785797894	629.0	491.0	3352	16	Ctrl
58	8	25284.222785797894	650.0	539.0	1451	16	Ctrl
58	8	25284.222785797894	662.0	484.0	1959	16	Ctrl
58	8	25284.222785797894	669.0	466.0	2474	16	Ctrl
58	8	25284.222785797894	680.0	517.0	1842	16	Ctrl
59	8	25918.75241171404	357.0	765.0	2975	19	Ctrl
59	8	25918.75241171404	377.0	710.0	1836	19	Ctrl
59	8	25918.75241171404	377.0	771.0	1910	19	Ctrl
59	8	25918.75241171404	382.0	673.0	3260	19	Ctrl
59	8	25918.75241171404	384.0	747.0	1726	19	Ctrl
59	8	25918.75241171404	401.0	770.0	2098	19	Ctrl
59	8	25918.75241171404	409.0	723.0	3246	19	Ctrl
59	8	25918.75241171404	411.0	689.0	2406	19	Ctrl
59	8	25918.75241171404	413.0	710.0	2066	19	Ctrl
59	8	25918.75241171404	417.0	665.0	2590	19	Ctrl
59	8	25918.75241171404	427.0	780.0	1820	19	Ctrl
59	8	25918.75241171404	433.0	738.0	3248	19	Ctrl
59	8	25918.75241171404	435.0	693.0	2109	19	Ctrl
59	8	25918.75241171404	442.0	701.0	2846	19	Ctrl
59	8	25918.75241171404	445.0	713.0	2607	19	Ctrl
59	8	25918.75241171404	446.0	657.0	1692	19	Ctrl
59	8	25918.75241171404	455.0	743.0	1261	19	Ctrl
59	8	25918.75241171404	472.0	739.0	1761	19	Ctrl
59	8	25918.75241171404	503.0	687.0	2711	19	Ctrl
60	8	43949.25540128261	735.0	767.0	3427	12	Ctrl
60	8	43949.25540128261	750.0	801.0	1951	12	Ctrl
60	8	43949.25540128261	764.0	798.0	1724	12	Ctrl
60	8	43949.25540128261	765.0	729.0	2543	12	Ctrl
60	8	43949.25540128261	765.0	776.0	2179	12	Ctrl
60	8	43949.25540128261	774.0	702.0	2306	12	Ctrl
60	8	43949.25540128261	783.0	745.0	2191	12	Ctrl
60	8	43949.25540128261	785.0	723.0	3349	12	Ctrl
60	8	43949.25540128261	790.0	694.0	2680	12	Ctrl
60	8	43949.25540128261	800.0	705.0	3401	12	Ctrl
60	8	43949.25540128261	811.0	703.0	2595	12	Ctrl
60	8	43949.25540128261	836.0	724.0	2833	12	Ctrl
61	8	836.4783540318349	284.0	811.0	1	2	Ctrl
61	8	836.4783540318349	293.0	895.0	429	2	Ctrl
62	9	575.2337447512406	249.0	113.0	444	1	Ctrl
63	9	592.7916712814265	297.0	421.0	6	4	Ctrl
63	9	592.7916712814265	414.0	348.0	234	4	Ctrl
63	9	592.7916712814265	418.0	285.0	5	4	Ctrl
63	9	592.7916712814265	431.0	271.0	9	4	Ctrl
64	9	25094.04126874165	824.0	376.0	2829	2	Ctrl
64	9	25094.04126874165	886.0	443.0	2228	2	Ctrl
65	9	587.4047402619263	677.0	495.0	487	1	Ctrl
66	9	577.2586518003824	501.0	845.0	388	1	Ctrl
67	9	595.0983614232209	670.0	807.0	282	1	Ctrl
68	10	20097.266967210227	852.0	236.0	1653	13	Ctrl
68	10	20097.266967210227	854.0	149.0	2464	13	Ctrl
68	10	20097.266967210227	862.0	290.0	1086	13	Ctrl
68	10	20097.266967210227	863.0	158.0	1745	13	Ctrl
68	10	20097.266967210227	870.0	190.0	1153	13	Ctrl
68	10	20097.266967210227	888.0	231.0	2425	13	Ctrl
68	10	20097.266967210227	907.0	173.0	2263	13	Ctrl
68	10	20097.266967210227	912.0	153.0	2264	13	Ctrl
68	10	20097.266967210227	912.0	301.0	2074	13	Ctrl
68	10	20097.266967210227	916.0	249.0	2837	13	Ctrl
68	10	20097.266967210227	928.0	295.0	2048	13	Ctrl
68	10	20097.266967210227	928.0	310.0	2382	13	Ctrl
68	10	20097.266967210227	955.0	227.0	2124	13	Ctrl
69	10	607.3268356607559	689.0	239.0	225	1	Ctrl
70	10	12018.840645130955	238.0	342.0	2556	9	Ctrl
70	10	12018.840645130955	238.0	368.0	3031	9	Ctrl
70	10	12018.840645130955	242.0	317.0	1983	9	Ctrl
70	10	12018.840645130955	258.0	343.0	2023	9	Ctrl
70	10	12018.840645130955	274.0	335.0	2230	9	Ctrl
70	10	12018.840645130955	286.0	292.0	3397	9	Ctrl
70	10	12018.840645130955	293.0	291.0	2925	9	Ctrl
70	10	12018.840645130955	311.0	329.0	3395	9	Ctrl
70	10	12018.840645130955	347.0	324.0	2163	9	Ctrl
71	10	575.394970867832	515.0	320.0	340	1	Ctrl
72	10	602.9197673578499	821.0	506.0	446	2	Ctrl
72	10	602.9197673578499	832.0	547.0	23	2	Ctrl
73	10	587.9849052384413	134.0	728.0	789	1	Ctrl
74	10	5319.356047780286	885.0	736.0	2051	1	Ctrl
75	10	8976.727962948902	523.0	840.0	2481	6	Ctrl
75	10	8976.727962948902	558.0	884.0	1696	6	Ctrl
75	10	8976.727962948902	574.0	840.0	3393	6	Ctrl
75	10	8976.727962948902	575.0	897.0	1881	6	Ctrl
75	10	8976.727962948902	598.0	819.0	2706	6	Ctrl
75	10	8976.727962948902	617.0	834.0	1839	6	Ctrl
76	11	27630.16458655541	304.0	103.0	1543	11	Ctrl
76	11	27630.16458655541	310.0	214.0	1634	11	Ctrl
76	11	27630.16458655541	313.0	64.0	2218	11	Ctrl
76	11	27630.16458655541	339.0	244.0	2705	11	Ctrl
76	11	27630.16458655541	353.0	122.0	2643	11	Ctrl
76	11	27630.16458655541	353.0	175.0	2131	11	Ctrl
76	11	27630.16458655541	361.0	236.0	2885	11	Ctrl
76	11	27630.16458655541	375.0	193.0	2425	11	Ctrl
76	11	27630.16458655541	404.0	222.0	2186	11	Ctrl
76	11	27630.16458655541	406.0	88.0	2245	11	Ctrl
76	11	27630.16458655541	417.0	208.0	2882	11	Ctrl
77	11	4090.038520106029	854.0	331.0	1903	2	Ctrl
77	11	4090.038520106029	860.0	365.0	1881	2	Ctrl
78	11	2820.390796201607	285.0	447.0	2258	2	Ctrl
78	11	2820.390796201607	289.0	403.0	1891	2	Ctrl
79	11	10969.044784221478	565.0	396.0	3036	2	Ctrl
79	11	10969.044784221478	565.0	441.0	2332	2	Ctrl
80	11	5832.555141466382	291.0	593.0	3077	1	Ctrl
81	11	13771.119382022473	741.0	713.0	2702	1	Ctrl
82	11	10556.866706095443	296.0	987.0	1352	1	Ctrl
83	11	13442.869838511857	638.0	920.0	3043	7	Ctrl
83	11	13442.869838511857	641.0	852.0	1732	7	Ctrl
83	11	13442.869838511857	661.0	944.0	3004	7	Ctrl
83	11	13442.869838511857	671.0	952.0	2364	7	Ctrl
83	11	13442.869838511857	692.0	905.0	3041	7	Ctrl
83	11	13442.869838511857	732.0	950.0	2638	7	Ctrl
83	11	13442.869838511857	737.0	902.0	2155	7	Ctrl
84	12	20245.57790397522	550.0	284.0	949	7	Ctrl
84	12	20245.57790397522	553.0	268.0	1822	7	Ctrl
84	12	20245.57790397522	581.0	254.0	2163	7	Ctrl
84	12	20245.57790397522	593.0	189.0	1739	7	Ctrl
84	12	20245.57790397522	609.0	241.0	2243	7	Ctrl
84	12	20245.57790397522	616.0	271.0	1920	7	Ctrl
84	12	20245.57790397522	618.0	296.0	2271	7	Ctrl
85	12	21281.086918489065	216.0	205.0	3308	4	Ctrl
85	12	21281.086918489065	262.0	235.0	2271	4	Ctrl
85	12	21281.086918489065	298.0	159.0	1618	4	Ctrl
85	12	21281.086918489065	342.0	277.0	1717	4	Ctrl
86	12	22496.5956585177	678.0	617.0	1738	3	Ctrl
86	12	22496.5956585177	725.0	582.0	1963	3	Ctrl
86	12	22496.5956585177	743.0	577.0	1799	3	Ctrl
87	12	574.636303630363	374.0	528.0	382	1	Ctrl
88	12	597.758723341955	326.0	799.0	412	1	Ctrl
89	12	24543.783474220818	804.0	724.0	2532	11	Ctrl
89	12	24543.783474220818	828.0	758.0	3227	11	Ctrl
89	12	24543.783474220818	848.0	804.0	3109	11	Ctrl
89	12	24543.783474220818	864.0	702.0	2464	11	Ctrl
89	12	24543.783474220818	876.0	777.0	2936	11	Ctrl
89	12	24543.783474220818	878.0	861.0	3348	11	Ctrl
89	12	24543.783474220818	880.0	801.0	2253	11	Ctrl
89	12	24543.783474220818	887.0	832.0	3028	11	Ctrl
89	12	24543.783474220818	902.0	691.0	2721	11	Ctrl
89	12	24543.783474220818	955.0	785.0	3009	11	Ctrl
89	12	24543.783474220818	969.0	828.0	1654	11	Ctrl
90	13	682.7830537799779	766.0	241.0	499	1	shSTN1_H2O2
91	13	737.3324698300373	333.0	150.0	873	1	shSTN1_H2O2
92	13	741.2157067222846	593.0	492.0	414	1	shSTN1_H2O2
93	13	17969.597021016118	244.0	599.0	955	1	shSTN1_H2O2
94	13	754.3611641922681	694.0	609.0	555	1	shSTN1_H2O2
95	13	12345.864939082128	608.0	842.0	657	1	shSTN1_H2O2
96	13	753.1745265841223	899.0	783.0	935	1	shSTN1_H2O2
97	13	11905.597503968955	275.0	767.0	843	1	shSTN1_H2O2
98	13	775.5633670791151	844.0	953.0	848	1	shSTN1_H2O2
99	14	6008.799471702355	138.0	333.0	507	1	shSTN1_H2O2
100	14	707.602508650519	390.0	356.0	645	1	shSTN1_H2O2
101	14	5888.329286505757	880.0	329.0	583	1	shSTN1_H2O2
102	14	4171.210375592025	101.0	524.0	557	1	shSTN1_H2O2
103	14	758.8316942465108	815.0	529.0	485	1	shSTN1_H2O2
104	14	14921.54021875356	562.0	526.0	732	1	shSTN1_H2O2
105	14	3615.4256966819285	46.0	708.0	2	2	shSTN1_H2O2
105	14	3615.4256966819285	59.0	602.0	540	2	shSTN1_H2O2
106	14	17736.83869047619	475.0	692.0	695	1	shSTN1_H2O2
107	14	729.0300969355848	665.0	657.0	524	1	shSTN1_H2O2
108	14	751.2776094007551	862.0	745.0	775	1	shSTN1_H2O2
109	14	20140.235619147326	629.0	864.0	831	1	shSTN1_H2O2
110	15	567.2104122943606	402.0	187.0	679	2	shSTN1_H2O2
110	15	567.2104122943606	470.0	270.0	13	2	shSTN1_H2O2
111	15	568.3435953504431	576.0	305.0	672	1	shSTN1_H2O2
112	15	559.3547395664833	100.0	440.0	512	1	shSTN1_H2O2
113	15	545.9435853554183	285.0	513.0	378	1	shSTN1_H2O2
114	15	7975.485730999039	611.0	534.0	711	1	shSTN1_H2O2
115	15	647.5391497045306	244.0	809.0	552	1	shSTN1_H2O2
116	16	9937.254787450767	562.0	101.0	720	1	shSTN1_H2O2
117	16	762.2124190680667	949.0	155.0	543	1	shSTN1_H2O2
118	16	614.9890910571091	347.0	202.0	514	1	shSTN1_H2O2
119	16	607.6950579333176	525.0	275.0	390	1	shSTN1_H2O2
120	16	11382.251114761793	778.0	509.0	662	1	shSTN1_H2O2
121	16	720.6277655770732	25.0	461.0	614	1	shSTN1_H2O2
